"Time","damper.phi_rel","damper.w_rel","force_inWorld.force[1]","force_inWorld.force[2]","force_inFrameA.force[1]","force_inFrameA.force[2]","force_inFrameResolve.force[1]","force_inFrameResolve.force[2]"
2.2283999999999997,0.46791073851509557,-0.39298972546179617,-0.018453651060867559,-0.0047124875869131253,-0.023166138647780679,0,-0.022493722731672956,-0.00067241591610772927
2.2289999999999996,0.4676742167641556,-0.39541619121899702,-0.018686699245817829,-0.0047663953959029316,-0.023453094641720771,-1.1555579666323415e-34,-0.022774210863946914,-0.00067888377777384644
2.2296,0.46743623936734124,-0.39784182768535536,-0.018921211728150793,-0.004820506250252805,-0.0237417179784036,1.1555579666323415e-34,-0.0230563728242602,-0.00068534515414340081
2.2302,0.46719680682197218,-0.40026663037824889,-0.019157188509671411,-0.0048748177994822435,-0.024032006309153656,0,-0.023340207009727745,-0.00069179929942591461
2.2307999999999999,0.46695591962798039,-0.40269059481234359,-0.019394629589033773,-0.0049293276835140854,-0.024323957272547856,1.1555579666323415e-34,-0.023625711805339983,-0.00069824546720787905
2.2313999999999998,0.46671357843268491,-0.40511372024294356,-0.019633535321633123,-0.0049840336277285667,-0.024617568949361689,0,-0.023912886024629498,-0.00070468292473219066
2.2319999999999998,0.46646978363536384,-0.40753599944154567,-0.019873905441357087,-0.0050389331847658396,-0.024912838626122921,0,-0.024201727711852375,-0.0007111109142705521
2.2325999999999997,0.46622453573283301,-0.40995742763136328,-0.020115739911134026,-0.0050940239593846434,-0.025209763870518674,1.1555579666323415e-34,-0.024492235183612539,-0.00071752868690613445
2.2331999999999996,0.46597783523745168,-0.41237800036722255,-0.020359038722488305,-0.0051493035555420395,-0.025508342278030352,0,-0.024784406783391295,-0.00072393549463905312
2.2338,0.46572968266425019,-0.41479771320273201,-0.020603801863654198,-0.0052047695680781875,-0.025808571431732395,0,-0.025078240842535817,-0.00073033058919656985
2.2343999999999999,0.46548007853093054,-0.41721656169027488,-0.02085002931949681,-0.0052604195828014335,-0.026110448902298248,0,-0.025373735680195915,-0.00073671322210232943
2.2349999999999999,0.4652290233578657,-0.41963454138101997,-0.021097721071434608,-0.0053162511765742354,-0.02641397224800885,0,-0.025670889603262973,-0.00074308264474587566
2.2355999999999998,0.46497651766809989,-0.42205164782491483,-0.021346877097359818,-0.0053722619173990713,-0.026719139014758898,0,-0.025969700906306532,-0.00074943810845236217
2.2361999999999997,0.4647225619873484,-0.42446787657068713,-0.021597497371559242,-0.0054284493645049654,-0.027025946736064208,0,-0.026270167871511676,-0.0007557788645525343
2.2367999999999997,0.46446715684399797,-0.42688322316584465,-0.021849581864634687,-0.0054848110684343641,-0.027334392933069055,0,-0.026572288768616118,-0.00076210416445293596
2.2373999999999996,0.46421030276910663,-0.42929768315667582,-0.022103130543423003,-0.0055413445711304408,-0.027644475114553448,0,-0.026876061854847085,-0.00076841325970635583
2.238,0.46395200029640293,-0.43171125208825079,-0.022358143370915982,-0.0055980474060247981,-0.027956190776940781,0,-0.027181485374858292,-0.00077470540208249424
