"Time","damper.phi_rel","damper.w_rel","relativeForce_inWorld.frame_b.fx","relativeForce_inWorld.frame_b.fy","relativeForce_inFrameA.frame_b.fx","relativeForce_inFrameA.frame_b.fy","relativeForce_inFrameB.frame_b.fx","relativeForce_inFrameB.frame_b.fy","relativeForce_inFrameResolve.frame_b.fx","relativeForce_inFrameResolve.frame_b.fy"
2.448,-0.068570060407378342,0.30785163685047295,0.80156698487087574,0,0.76654231985496801,0.23435550581616507,0.79968329797258164,-0.054920434982636435,0.79968329797258164,-0.054920434982636435
2.4485999999999999,-0.068386286125960247,0.30472830295526232,0.80381533219392154,0,0.76869242509305347,0.23501285895581278,0.80193646939869168,-0.054927109139164529,0.80193646939869168,-0.054927109139164529
2.4491999999999998,-0.068204388980422095,0.3015944272026666,0.80605225552184623,0,0.77083160551027252,0.2356668720425322,0.80417816965764544,-0.054933688005949027,0.80417816965764544,-0.054933688005949027
2.4497999999999998,-0.068024375272556392,0.29845006991107181,0.80827772306301915,0,0.77295983070413754,0.23631753578135004,0.80640836600077526,-0.054940193336920982,0.80640836600077526,-0.054940193336920982
2.4503999999999997,-0.067846251267447713,0.29529529157468437,0.81049170318862029,0,0.77507707042785756,0.23696484092489431,0.80862702585376545,-0.054946646817474902,0.80862702585376545,-0.054946646817474902
2.4509999999999996,-0.067670023193344905,0.29213015286273419,0.81269416443309239,0,0.77718329459077051,0.23760877827352639,0.81083411681693995,-0.05495307006251076,0.81083411681693995,-0.05495307006251076
2.4516,-0.067495697282619227,0.28895471435414655,0.81488507549458622,0,0.77927847325876909,0.23824933867547127,0.81302960666328528,-0.054959484647884589,0.81302960666328528,-0.054959484647884589
2.4521999999999999,-0.067323279983780362,0.28576903517088093,0.8170644052354028,0,0.78136257665472364,0.23888651302694677,0.81521346332706401,-0.054965912281851,0.81521346332706401,-0.054965912281851
2.4527999999999999,-0.067152777155314813,0.28257317816671984,0.8192321226824445,0,0.78343557515891371,0.23952029227229557,0.81738565494839899,-0.054972374147025369,0.81738565494839899,-0.054972374147025369
2.4533999999999998,-0.0669841948846647,0.27936720465271436,0.82138819702764831,0,0.78549743930944194,0.24015066740411178,0.81954614982852181,-0.054978891563734693,0.81954614982852181,-0.054978891563734693
2.4539999999999997,-0.066817539222223443,0.27615117610821482,0.82353259762842634,0,0.78754813980265603,0.24077762946336972,0.82169491644465287,-0.054985485772506844,0.82169491644465287,-0.054985485772506844
2.4545999999999997,-0.066652816181217961,0.27292515418001001,0.82566529400809718,0,0.78958764749356036,0.2414011695395501,0.82383192345026046,-0.054992177932154565,0.82383192345026046,-0.054992177932154565
2.4551999999999996,-0.066490031737591021,0.26968920068146618,0.8277862558563257,0,0.79161593339623748,0.24202127877076857,0.82595713967532669,-0.054998989117866097,0.82595713967532669,-0.054998989117866097
2.4558,-0.066329191829883311,0.26644337759166353,0.82989545302955137,0,0.79363296868425692,0.24263794834390093,0.82807053412660081,-0.055005940319300464,0.82807053412660081,-0.055005940319300464
2.4563999999999999,-0.066170302359116098,0.2631877470545459,0.83199285555141034,0,0.79563872469107955,0.24325116949470663,0.83017207598784482,-0.055013052438689126,0.83017207598784482,-0.055013052438689126
2.4569999999999999,-0.066013369188672816,0.25992237137804408,0.83407843361317047,0,0.79763317291047287,0.24386093350795579,0.83226173462009212,-0.055020346288943464,0.83226173462009212,-0.055020346288943464
2.4575999999999998,-0.065858398144181804,0.25664731303322574,0.83615215757415184,0,0.79961628499691395,0.2444672317175523,0.83433947956188959,-0.055027842591768725,0.83433947956188959,-0.055027842591768725
2.4581999999999997,-0.065705395013398296,0.25336263465343167,0.83821399796214691,0,0.80158803276599022,0.24507005550665661,0.83640528052953833,-0.055035561975783583,0.83640528052953833,-0.055035561975783583
2.4587999999999997,-0.065554365546086804,0.2500683990334146,0.84026392547384088,0,0.80354838819480268,0.24566939630780862,0.83845910741733487,-0.05504352497464661,0.83845910741733487,-0.05504352497464661
2.4593999999999996,-0.065405315453903226,0.246764669128479,0.84230191097522411,0,0.80549732342235913,0.24626524560304827,0.84050093029780248,-0.055051752025188548,0.84050093029780248,-0.055051752025188548
2.46,-0.065258250410277122,0.24345150805361737,0.84432792550201463,0,0.80743481074997914,0.24685759492403905,0.84253071942193281,-0.055060263465552241,0.84253071942193281,-0.055060263465552241
2.4605999999999999,-0.065113176050294194,0.24012897908265898,0.8463419402600576,0,0.80936082264167541,0.24744643585218484,0.84454844521940231,-0.055069079533337992,0.84454844521940231,-0.055069079533337992
2.4611999999999998,-0.064970097970578025,0.23679714564739482,0.84834392662574798,0,0.81127533172455824,0.24803176001875341,0.84655407829881368,-0.05507822036375689,0.84655407829881368,-0.05507822036375689
2.4617999999999998,-0.064829021729172751,0.233456071336726,0.85033385614642631,0,0.8131783107892141,0.24861355910499225,0.8485475894479072,-0.055087705987790218,0.8485475894479072,-0.055087705987790218
2.4623999999999997,-0.064689952845425017,0.23010581989580076,0.85231170054079031,0,0.81506973279009931,0.24919182484224875,0.85052894963378933,-0.055097556330356574,0.85052894963378933,-0.055097556330356574
2.4629999999999996,-0.064552896799866435,0.22674645522515352,0.85427743169929327,0,0.81694957084592035,0.24976654901208686,0.85249813000314711,-0.05510779120848585,0.85249813000314711,-0.05510779120848585
2.4635999999999996,-0.064417859034095651,0.22337804137984399,0.85623102168454501,0,0.81881779824001832,0.2503377234464042,0.85445510188246387,-0.05511843032950059,0.85445510188246387,-0.05511843032950059
2.4641999999999999,-0.064284845325024736,0.22000064055494969,0.85817244273170767,0,0.8206743884207468,0.25090534002754777,0.85639983675759301,-0.055129493609810128,0.85639983675759301,-0.055129493609810128
2.4647999999999999,-0.064153860759648573,0.21661431859863178,0.86010166724888792,0,0.82251931500184672,0.25146939068842866,0.85833230633046831,-0.055141000296836523,0.85833230633046831,-0.055141000296836523
2.4653999999999998,-0.064024910653617595,0.21321914006977152,0.86201866781753711,0,0.82435255176282973,0.25202986741263905,0.86025248246868846,-0.055152969751231178,0.86025248246868846,-0.055152969751231178
2.4659999999999997,-0.063898000300392221,0.20981516958574331,0.86392341719283372,0,0.8261740726493435,0.25258676223456411,0.86216033721952967,-0.055165421231508485,0.86216033721952967,-0.055165421231508485
2.4665999999999997,-0.063773134954377517,0.20640247191163349,0.86581588830407386,0,0.82798385177354517,0.25314006723949595,0.86405584281107473,-0.05517837387795918,0.86405584281107473,-0.05517837387795918
2.4671999999999996,-0.063650319830816468,0.20298111195932145,0.86769605425505225,0,0.82978186341446558,0.25368977456374514,0.86593897165240696,-0.055191846710890696,0.86593897165240696,-0.055191846710890696
2.4678,-0.063529560105682614,0.1995511547865578,0.86956388832445164,0,0.83156808201838195,0.25423587639475465,0.86780969633381477,-0.055205858628875844,0.86780969633381477,-0.055205858628875844
2.4683999999999999,-0.063410860915573686,0.19611266559605639,0.871419363966212,0,0.83334248219917095,0.25477836497120765,0.86966798962697467,-0.055220428407009574,0.86966798962697467,-0.055220428407009574
2.4689999999999999,-0.063294227357603816,0.19266570973455988,0.87326245480991982,0,0.83510503873868069,0.25531723258314137,0.87151382448515469,-0.055235574695174254,0.87151382448515469,-0.055235574695174254
2.4695999999999998,-0.063179664489297141,0.1892103526919309,0.87509313466117289,0,0.83685572658707963,0.25585247157205382,0.87334717404339446,-0.055251316016313425,0.87334717404339446,-0.055251316016313425
2.4701999999999997,-0.063067177328480606,0.18574666010023103,0.87691137750195913,0,0.83859452086321928,0.2563840743310144,0.87516801161869862,-0.055267670764714345,0.87516801161869862,-0.055267670764714345
2.4707999999999997,-0.062956770853176997,0.18227469773280175,0.87871715749102308,0,0.84032139685498408,0.25691203330477125,0.87697631071021898,-0.055284657204299037,0.87697631071021898,-0.055284657204299037
2.4713999999999996,-0.062848450001497927,0.1787945315033457,0.88051044896423492,0,0.84203633001964451,0.25743634098985896,0.87877204499943939,-0.055302293466924342,0.87877204499943939,-0.055302293466924342
2.472,-0.062742219671536814,0.17530622746500513,0.88229122643495317,0,0.84373929598420416,0.25795698993470467,0.88055518835035451,-0.05532059755069077,0.88055518835035451,-0.05532059755069077
2.4725999999999999,-0.062638084721262172,0.17180985180945366,0.88405946459438589,0,0.84543027054574493,0.25847397273973383,0.88232571480964828,-0.055339587318260726,0.88232571480964828,-0.055339587318260726
2.4731999999999998,-0.062536049968410196,0.16830547086596168,0.88581513831195646,0,0.84710922967177704,0.25898728205747684,0.88408359860687724,-0.055359280495185778,0.88408359860687724,-0.055359280495185778
2.4737999999999998,-0.062436120190377975,0.16479315110048789,0.88755822263565509,0,0.84877614950057467,0.2594969105926721,0.88582881415463965,-0.055379694668243037,0.88582881415463965,-0.055379694668243037
2.4743999999999997,-0.062338300124116647,0.16127295911475825,0.88928869279239608,0,0.85043100634151814,0.26000285110237031,0.88756133604875309,-0.055400847283781363,0.88756133604875309,-0.055400847283781363
2.4749999999999996,-0.062242594466024093,0.15774496164534643,0.89100652418836646,0,0.85207377667542727,0.26050509639603642,0.88928113906842166,-0.055422755646076412,0.88928113906842166,-0.055422755646076412
2.4755999999999996,-0.062149007871838267,0.15420922556275571,0.89271169240938053,0,0.85370443715489996,0.26100363933565335,0.89098819817641128,-0.055445436915696276,0.89098819817641128,-0.055445436915696276
