"Time","heatCapacitor.T","planetary.bearing_Planet.phi","planetary.bearing_Planet.w","planetary.bearing_Ring.w","planetary.planet.phi","planetary.planet.w","planetary.planetRing.frame_b.phi","planetary.planetRing.phi_gear","planetary.sunPlanet.frame_a.phi","planetary.sunPlanet.phi_gear"
9.6940000000000008,293.14999999999998,-9.9265262909045635,0.53358337394674704,1.7114444985956627,-10.159052581809126,2.0671667478934941,-3.5413683878727511,-0.23252629090456298,9.6940000000000008,-0.23252629090456298
9.6959999999999997,293.14999999999998,-9.9254679937110986,0.52471571959566732,1.6996209594608898,-10.154935987422197,2.0494314391913346,-3.537957324948132,-0.22946799371109911,9.6959999999999997,-0.22946799371109911
9.6980000000000004,293.14999999999998,-9.9244274385336126,0.51584127230839139,1.6877883630778552,-10.150854877067225,2.0316825446167828,-3.5345699180448165,-0.22642743853361211,9.6980000000000004,-0.22642743853361211
9.7000000000000011,293.14999999999998,-9.9234046388287087,0.50696015913225345,1.6759468788430045,-10.146809277657416,2.0139203182645069,-3.5312061851049443,-0.22340463882870792,9.7000000000000011,-0.22340463882870792
9.702,293.14999999999998,-9.922399607799278,0.49807250558337857,1.6640966741111713,-10.14279921559856,1.9961450111667571,-3.5278661437323735,-0.22039960779928067,9.702,-0.22039960779928067
9.7040000000000006,293.14999999999998,-9.9214123583974594,0.48917843564477459,1.6522379141930328,-10.138824716794918,1.9783568712895492,-3.5245498111966111,-0.21741235839745818,9.7040000000000006,-0.21741235839745818
9.7059999999999995,293.14999999999998,-9.9204429033275741,0.48027807176449833,1.6403707623526644,-10.134885806655149,1.9605561435289967,-3.5212572044367656,-0.21444290332757446,9.7059999999999995,-0.21444290332757446
9.7080000000000002,293.14999999999998,-9.9194912550491026,0.47137153485370598,1.6284953798049413,-10.130982510098205,1.942743069707412,-3.517988340065469,-0.21149125504910202,9.7080000000000002,-0.21149125504910202
9.7100000000000009,293.14999999999998,-9.9185574257796247,0.46245894428481993,1.6166119257130929,-10.127114851559249,1.9249178885696394,-3.514743234372832,-0.20855742577962405,9.7100000000000009,-0.20855742577962405
9.7119999999999997,293.14999999999998,-9.9176414274977773,0.45354041788961563,1.604720557186154,-10.123282854995558,1.9070808357792313,-3.5115219033303728,-0.20564142749778019,9.7119999999999997,-0.20564142749778019
