"Time","bodyFront.frame_a.phi","bodyFront.r[1]","bodyFront.r[2]","bodyFront.w","idealWheelFront.phi_roll","idealWheelFront.v_long","idealWheelRear.phi_roll","idealWheelRear.v_long","revolute.phi","revolute.w"
5.2991999999999999,-0.89631760770418079,4.5862522418854486,6.7557312218907581,-0.042853731516296033,25.978737980481949,2.9224264920077796,25.613192486625039,2.9218301807449967,-0.018788430154470875,0.016335460905963578
5.3003999999999998,-0.89636901941436053,4.5889916228321237,6.7579214326181338,-0.042833401812535928,25.990429016988966,2.9230922471062097,25.624881141213603,2.9224970156035157,-0.018768841687646129,0.01630901853092875
5.3015999999999996,-0.8964204067395648,4.5917317403624374,6.7601120014006462,-0.042813091251923112,26.002122716519875,2.9237580044122464,25.636572463140407,2.9231638500483448,-0.018749284923698293,0.016282625538981861
5.3027999999999995,-0.89647176970281373,4.5944725944690772,6.7623029282368714,-0.042792799803857202,26.013819079083586,2.9244237639196498,25.648266452403774,2.9238306840805897,-0.018729759803575396,0.016256281848188146
5.3039999999999994,-0.89652310832709403,4.5972141851447423,6.7644942131253716,-0.042772527437806747,26.025518104689013,2.925089525622206,25.659963109002035,2.9244975177013472,-0.018710266268329983,0.016229987376707371
5.3051999999999992,-0.8965744226353578,4.5999565123821453,6.7666858560646874,-0.042752274123300314,26.037219793345031,2.9257552895137136,25.67166243293352,2.92516435091171,-0.018690804259119124,0.016203742042794296
5.3063999999999991,-0.89662571265052304,4.6026995761740137,6.7688778570533517,-0.042732039829922443,26.048924145060507,2.9264210555879848,25.683364424196554,2.9258311837127637,-0.018671373717204356,0.016177545764799045
5.3075999999999999,-0.89667697839547411,4.6054433765130831,6.7710702160898757,-0.042711824527319524,26.060631159844295,2.9270868238388505,25.695069082789495,2.9264980161055907,-0.018651974583951698,0.016151398461167567
5.3087999999999997,-0.89672821989306095,4.6081879133921033,6.7732629331727585,-0.042691628185198956,26.072340837705191,2.9277525942601574,25.706776408710663,2.9271648480912682,-0.018632606800831633,0.016125300050442146
5.3099999999999996,-0.89677943716610009,4.6109331868038366,6.7754560083004831,-0.042671450773327291,26.084053178652002,2.9284183668457673,25.718486401958408,2.9278316796708626,-0.018613270309419033,0.016099250451261655
5.3111999999999995,-0.89683063023737453,4.6136791967410584,6.7776494414715165,-0.042651292261529257,26.095768182693515,2.9290841415895552,25.730199062531081,2.9284985108454404,-0.018593965051393175,0.016073249582362149
5.3123999999999993,-0.89688179912963339,4.6164259431965542,6.7798432326843123,-0.042631152619692317,26.10748584983849,2.9297499184854185,25.741914390427041,2.9291653416160592,-0.018574690968537717,0.01604729736257721
5.3135999999999992,-0.89693294386559264,4.6191734261631243,6.7820373819373101,-0.042611031817760173,26.119206180095656,2.9304156975272653,25.753632385644636,2.9298321719837759,-0.018555448002740664,0.016021393710838407
5.3148,-0.89698406446793455,4.6219216456335825,6.7842318892289297,-0.042590929825736208,26.130929173473763,2.9310814787090202,25.765353048182249,2.9304990019496331,-0.018536236095994359,0.015995538546175705
5.3159999999999998,-0.89703516095930835,4.6246706016007479,6.7864267545575796,-0.042570846613685147,26.142654829981474,2.931747262024623,25.777076378038217,2.9311658315146754,-0.018517055190395482,0.015969731787717965
5.3171999999999997,-0.89708623336233018,4.6274202940574574,6.7886219779216539,-0.042550782151725655,26.154383149627488,2.9324130474680294,25.78880237521091,2.9318326606799374,-0.018497905228144956,0.015943973354693258
5.3183999999999996,-0.8971372816995834,4.630170722996561,6.7908175593195299,-0.042530736410040404,26.166114132420468,2.933078835033212,25.800531039698718,2.9324994894464509,-0.01847878615154799,0.015918263166429386
