"Time","body.phi","damper1D.s_rel","damper1D.v_rel","revolute.w"
9.1500000000000004,-0.50750426780909574,-0.032258262997504873,-0.22431021986467978,1.508179511884552
9.152000000000001,-0.5044799204622028,-0.03270696047149977,-0.22438396943991346,1.5161577535133994
9.1539999999999999,-0.50143966588234523,-0.033155797361817209,-0.22445010812951319,1.5240871204415198
9.1560000000000006,-0.49838360245944296,-0.033604758070847437,-0.22450842872500301,1.5319671406887232
9.1579999999999995,-0.49531182955388747,-0.034053826560101225,-0.22455872319757988,1.5397973413196657
9.1600000000000001,-0.49222444750043315,-0.03450298634651762,-0.22460078273504552,1.5475772484791501
9.1620000000000008,-0.48912155255938727,-0.034952225364694785,-0.22463446474961429,1.5553064834953088
9.1639999999999997,-0.48600324954215712,-0.035401523808216429,-0.22465952562312727,1.5629845229392572
9.1660000000000004,-0.48286964192461052,-0.035850863650817411,-0.22467575183677238,1.5706108867095581
9.168000000000001,-0.4797208336073327,-0.036300226951297851,-0.22468293672906284,1.5781851046743756
9.1699999999999999,-0.4765569294534156,-0.036749595335685045,-0.2246808734564899,1.5857067065560049
9.1720000000000006,-0.47337803529122113,-0.037198949994639248,-0.22466935504559468,1.5931752219878608
9.1739999999999995,-0.47018425791717294,-0.03764827168085557,-0.22464817444503915,1.600590180571398
9.1760000000000002,-0.4669757050985065,-0.038097540706471728,-0.22461712457767752,1.6079511119331282
9.1780000000000008,-0.46375248557606025,-0.038546736940469874,-0.2245759983926279,1.6152575457815417
9.1799999999999997,-0.46051470906703978,-0.038995839806082427,-0.22452458891734348,1.6225090119640933
9.1820000000000004,-0.45726248626778099,-0.039444828278197862,-0.22446268930968383,1.6297050405241882
9.1840000000000011,-0.45399592570718617,-0.039893683556829547,-0.22439011922042035,1.6368452027352369
9.1859999999999999,-0.4507151382681221,-0.040342385224947555,-0.22430668709554799,1.6439290523643681
9.1880000000000006,-0.44742023982916701,-0.040790909003495746,-0.22421216818175049,1.6509560913929557
9.1899999999999995,-0.44411134457587964,-0.041239232434704808,-0.224106360480952,1.6579258571387545
9.1920000000000002,-0.44078856764595431,-0.041687332634197695,-0.2239890627271274,1.6648378879318431
9.1940000000000008,-0.43745202513044457,-0.04213518628972477,-0.22386007445148187,1.6716917231919635
9.1959999999999997,-0.43410183407495795,-0.042582769659902743,-0.22371919604762949,1.6784869035059189
9.1980000000000004,-0.43073811248084942,-0.043030058572953646,-0.22356622883677207,1.6852229707049735
9.2000000000000011,-0.42736097930644285,-0.043477028425440357,-0.22340097513287899,1.6918994679421975
9.202,-0.42397055446822535,-0.043923654181005502,-0.22322323830786542,1.6985159397698641
9.2040000000000006,-0.42056695726598337,-0.044369911650273292,-0.22303283330480131,1.7050719492297288
9.2059999999999995,-0.41715030469722791,-0.044815778860763454,-0.22282959788520346,1.711567096138598
9.2080000000000002,-0.41372072298239315,-0.045261226687874023,-0.22261331629909262,1.7180008927689567
9.2100000000000009,-0.41027833533422187,-0.045706228796756163,-0.22238380043759973,1.7243728959637419
